user_id;time
14;1415763274
88;1415443380
78;1417425048
15;1416401579
43;1416722323
86;1415732230
61;1415828456
4;1416673882
4;1416856595
98;1417077324
63;1415837411
88;1415690756
53;1415899814
74;1417246426
68;1416831695
17;1416793395
71;1416636196
63;1416389360
13;1415520646
11;1417397758
98;1416139193
96;1417035560
52;1415873831
28;1416208683
29;1417217372
26;1416962047
85;1416020721
45;1417285644
33;1415864766
88;1415600995
29;1415935813
68;1416780372
45;1416171874
28;1416586316
97;1416394146
48;1415461540
37;1417380971
44;1417205609
76;1416787291
90;1416297403
53;1415963664
29;1417035180
64;1416081589
4;1417434709
96;1416207433
72;1416404813
6;1415745666
58;1416756215
42;1416388609
58;1415652131
92;1417061677
10;1415673306
71;1417056056
62;1416576681
40;1416972116
59;1415984179
99;1415856807
94;1415582409
78;1416141639
75;1415981988
8;1415644950
60;1416980397
81;1415946780
4;1415646310
65;1417285601
13;1416668078
64;1416750602
77;1417280499
97;1416961464
34;1416468129
48;1415801248
52;1415756996
89;1416479145
26;1415701726
18;1416008028
30;1417363134
81;1416005467
71;1417006596
7;1416812630
81;1416392448
92;1416465250
22;1415791628
6;1417420716
37;1416959203
23;1415780167
80;1415466651
7;1417288317
55;1415572993
48;1416174568
5;1415931892
62;1416972725
22;1416444869
31;1416146147
39;1416924601
47;1416996857
60;1416337473
96;1415452420
37;1416617703
58;1415595198
46;1416899417
1;1415705477
64;1416807369
61;1416704107
32;1416124053
98;1416368070
98;1415777891
68;1416452341
94;1415610669
28;1415588811
11;1416448600
18;1416344752
88;1416180053
65;1416707037
25;1415591381
94;1416353974
81;1416464311
44;1417309003
53;1416687502
91;1416213175
33;1415524970
67;1416833450
73;1416518719
92;1417132584
7;1417142067
98;1416426685
21;1416695243
19;1415623108
39;1416605778
38;1417182249
42;1416079257
77;1416038155
73;1416548937
27;1416853409
5;1416617519
66;1416002189
15;1415995961
86;1416215706
46;1416478475
54;1415923137
40;1416952363
29;1417168668
52;1417320143
14;1416155984
51;1417334185
73;1416142452
47;1415733663
64;1416015472
41;1416824317
43;1415776132
45;1416322041
38;1416512476
94;1417408337
96;1417209271
83;1415817394
67;1417225706
23;1416979935
27;1416668379
50;1416501218
14;1415498408
26;1416473917
99;1415912796
47;1416736865
60;1417364026
68;1415908512
60;1415799131
26;1415907242
30;1416957775
71;1415687746
30;1416023696
43;1416475564
90;1415951392
71;1415636140
15;1417256864
11;1415652818
32;1416853030
27;1416007549
48;1415534956
75;1416384576
32;1417304869
4;1416034506
82;1416496680
7;1415699964
11;1416727662
100;1416925000
81;1416525047
5;1416645603
74;1416170279
97;1416676625
48;1415577565
82;1416604793
75;1416945980
52;1416255181
71;1417327912
32;1415555855
35;1416527875
46;1417167726
90;1416937539
94;1417120909
54;1416947604
100;1416674048
70;1416742055
99;1415631343
83;1416421188
55;1415695177
51;1416236752
68;1416463490
87;1416835333
93;1415476218
12;1417426577
2;1416347170
20;1416718614
49;1415974471
49;1417382540
71;1416132646
57;1416134632
41;1416056959
13;1415682207
62;1415551830
43;1417359843
97;1417198681
10;1416741063
75;1415586524
47;1416124763
59;1416977467
33;1417110206
8;1415721166
82;1417178055
25;1416257120
42;1416926761
98;1415951261
84;1416286576
31;1415761986
96;1417026088
18;1417202285
80;1416231690
78;1417101316
62;1415899741
76;1417372907
48;1416235752
34;1416429881
2;1415976219
72;1417076281
51;1416967894
56;1416024921
90;1416342795
62;1416888535
68;1416562882
82;1417117718
22;1416033972
94;1416097520
82;1417385449
52;1415780055
86;1416233128
54;1416273362
14;1416944899
96;1415811453
24;1415768055
7;1416360805
24;1416922933
34;1415813090
20;1415797209
90;1415552411
27;1417085174
76;1417382949
86;1416513544
73;1417094524
8;1416679007
1;1417308944
47;1417113693
19;1416086507
35;1416568073
38;1416429528
9;1417262804
42;1415663521
68;1416256653
52;1417158720
31;1415885952
95;1417162634
18;1415550518
33;1417313512
28;1416877676
31;1416379238
32;1416131090
91;1417087718
48;1415683190
78;1417021524
93;1417379371
93;1415569305
90;1417166683
70;1415476511
22;1416556772
61;1416991142
29;1415670809
89;1416260235
62;1417218672
92;1416687138
60;1416870437
99;1415662897
65;1416167355
32;1417406687
55;1416690559
20;1416505651
75;1415786715
17;1416536415
30;1416390940
98;1415579335
18;1417203319
49;1416765879
86;1416863281
32;1416518774
44;1417418941
86;1416248743
72;1415519609
3;1416860040
66;1416970887
63;1416422588
84;1417164664
31;1415947636
58;1417145422
84;1415603530
52;1416079191
38;1415812682
85;1415851770
86;1415587844
34;1415588154
22;1416113619
4;1416934308
71;1415532849
6;1415764664
86;1417260727
15;1415752231
92;1415964472
6;1415544855
19;1417329603
59;1416263682
13;1415456713
71;1416763566
40;1416910404
11;1416506114
31;1417093938
7;1417004770
85;1416576929
5;1417228004
23;1415895522
96;1417325844
83;1417343593
89;1417178271
48;1415831108
80;1415665830
30;1415876985
79;1415731251
46;1416163277
73;1417329921
41;1416433294
5;1416293601
43;1416346750
65;1415596606
64;1415674956
35;1415499078
30;1415552115
31;1415454328
91;1417160452
96;1416124865
57;1417433741
86;1417017625
97;1415889121
94;1415568040
100;1417123110
24;1415477770
52;1416633534
83;1415604591
90;1416994675
11;1415912683
6;1417090200
85;1416357662
82;1416230479
51;1416325321
71;1415494444
38;1416918905
50;1416083450
55;1416989279
49;1415844511
15;1416674832
29;1415568699
95;1415733751
5;1415944077
97;1416099280
14;1415884457
38;1416998977
33;1415665182
96;1416071512
88;1415733434
93;1415972449
32;1415906214
25;1417430219
83;1417085514
26;1417063782
23;1416779950
79;1416721812
57;1416097444
18;1416514913
32;1415713985
4;1417408622
71;1417277704
35;1415532806
30;1417206096
56;1417382785
56;1416026406
62;1416260839
22;1416423413
44;1416253244
42;1416874647
89;1415680212
85;1415436288
49;1416635522
83;1416785390
87;1415960095
9;1417341425
56;1416197762
42;1416426280
58;1416621686
37;1416932636
36;1417307545
